date,activity,weight,points,crono
2022-07-07,Qualificacao,50,15,0001:41:42
2022-07-07,Art Guilherme,40,0,0000:56:41
2022-07-07,Curso ML,35,0,0003:44:57
2022-07-07,Deutsch,45,0,0001:49:04
2022-07-07,Exercicios,80,0,0000:53:11
2022-07-07,Meditacao,100,0,0000:23:50
2022-07-07,Art CsSbXU,40,0,0000:00:00
2022-07-07,Art CsSbXdop,40,0,0006:33:05
2022-07-06,Qualificacao,50,0,0000:25:19
2022-07-06,Art Guilherme,40,0,0000:56:41
2022-07-06,Curso ML,35,8,0003:44:57
2022-07-06,Deutsch,45,0,0001:49:04
2022-07-06,Exercicios,80,0,0000:53:11
2022-07-06,Meditacao,100,0,0000:23:50
2022-07-06,Art CsSbXU,40,0,0000:00:00
2022-07-06,Art CsSbXdop,40,0,0006:33:05
2022-07-05,Curso ML,35,0,0002:59:57
2022-07-05,Art Guilherme,40,0,0000:56:41
2022-07-05,Qualificacao,50,0,0000:25:19
2022-07-05,Deutsch,45,0,0001:49:04
2022-07-05,Art CsSbXU,40,0,0000:00:00
2022-07-05,Meditacao,100,0,0000:23:50
2022-07-05,Exercicios,80,0,0000:53:11
2022-07-05,Art CsSbXdop,40,0,0006:33:05
2022-07-04,Art Guilherme,40,0,0000:56:41
2022-07-04,Qualificacao,50,0,0000:25:19
2022-07-04,Curso ML,35,0,0002:59:57
2022-07-04,Deutsch,45,0,0001:49:04
2022-07-04,Art CsSbXdop,40,0,0006:33:05
2022-07-04,Meditacao,100,0,0000:23:50
2022-07-04,Art CsSbXU,40,0,0000:00:00
2022-07-04,Exercicios,80,0,0000:53:11
2022-07-03,Art CsSbXdop,40,0,0006:33:05
2022-07-03,Curso ML,35,0,0002:59:57
2022-07-03,Qualificacao,50,0,0000:25:19
2022-07-03,Art Guilherme,40,0,0000:56:41
2022-07-03,Art CsSbXU,40,0,0000:00:00
2022-07-03,Meditacao,100,0,0000:23:50
2022-07-03,Deutsch,45,0,0001:49:04
2022-07-03,Exercicios,80,0,0000:53:11
2022-07-02,Curso ML,35,0,0002:59:57
2022-07-02,Deutsch,45,0,0001:49:04
2022-07-02,Qualificacao,50,0,0000:25:19
2022-07-02,Art Guilherme,40,0,0000:56:41
2022-07-02,Meditacao,100,0,0000:23:50
2022-07-02,Exercicios,80,0,0000:53:11
2022-07-02,Art CsSbXdop,40,0,0006:33:05
2022-07-02,Art CsSbXU,40,0,0000:00:00
2022-07-01,Qualificacao,50,0,0000:25:19
2022-07-01,Art Guilherme,40,0,0000:56:41
2022-07-01,Curso ML,35,0,0002:59:57
2022-07-01,Deutsch,45,0,0001:49:04
2022-07-01,Art CsSbXU,40,0,0000:00:00
2022-07-01,Meditacao,100,0,0000:23:50
2022-07-01,Art CsSbXdop,40,0,0006:33:05
2022-07-01,Exercicios,80,0,0000:53:11
2022-06-30,Art Guilherme,40,3,0000:56:41
2022-06-30,Curso ML,35,0,0002:59:57
2022-06-30,Deutsch,45,2,0001:49:04
2022-06-30,Qualificacao,50,0,0000:25:19
2022-06-30,Art CsSbXU,40,0,0000:00:00
